ARTIST,SONG,MF CODE,TRACK
Dr Hook,If I Said You Had A Beautiful Body,SFGD028,06
Dr Hook,If Not You,ZPA015,06
Dr Hook,In Over My Head,SFMW858,11
Dr Hook,Little Bit More,ZPA015,07
Dr Hook,More Like The Movies,ZPA015,02
Dr Hook,My Ding A Ling,LEG207,08
Dr Hook,Only Sixteen,ZPA015,03
Dr Hook,Sexy Eyes,ZPA015,05
Dr Hook,Sharing The Night Together,ZPA015,08
Dr Hook,Sweetest Of All,SFGD028,04
Dr Hook,Sylvias Mother,LEG207,01
Dr Hook,Sylvia's Mother,ZPA015,01
Dr Hook,When You're In Love With A Beautifu,ZPA015,04
Dr Hook,When Youre In Love With A Beautiful,LEG207,02
Dr Hook,Years From Now,ZPA015,11
Dr John,Right Place Wrong Time,SC8231,14
Dragon,April Sun In Cuba,SFHH05-1,08
Drain Sth,Enter My Mind,SC2262,02
Drake,Best I Ever Had,QH0311,08
Drake,Find Your Love,SFMW930,09
Drake Feat Jay Z,Pound Cake,PHMU1401,08
Drake Feat Majid Jordan,Hold On We're Going Home,ZPP16-1,13
Drake Feat Rihanna,Take Care,SFKK66,06
Drake Rihanna,What's My Name,SFKK54,06
Dramarama,Anything Anything (I'll Give You),SC8942,09
Dramatics,In The Rain,SC8393,10
Dramatics,Whatcha See Is Whatcha Get,SC8941,15
Dream,He Love You Not,PHM0102,06
Dream,He Loves U Not,SF177,02
Dream,He Loves You Not,TT027,05
Dream,I Luv Your Girl,SC9022,07
Dream,In My Dreams,TT027,08
Dream,This Is Me,TT061,15
Dream Academy,Life In A Northern Town,SC8719,08
Dream Lovers,When We Get Married,SC8182,02
Dream Warriors,My Definition Of A Boombastic Jazz,SFMW893,13
Dreamgirls,And I Am Telling You I'm Not Going,CBE08-29,12
Drifters,At The Club,SF096,07
Drifters,Come On Over To My Place,ZPA070,02
Drifters,Dance With Me,RB025,03
Drifters,Down On The Beach,SFMW819,11
Drifters,Down On The Beach Tonight,ZPA063,05
Drifters,Every Night's A Saturday Night With,ZPA063,06
Drifters,Fools Fall In Love,RB011,14
Drifters,Hello Happiness,ZPA063,03
Drifters,Honey Love,RB014,08
Drifters,Kissin' In The Back Row Of The Movi,ZPA063,01
Drifters,Like Sister And Brother,ZPA070,05
Drifters,Little Red Book,SC8251,14
Drifters,On Broadway,SC7550,14
Drifters,Saturday Night At The Movies,ZPA070,01
Drifters,Save The Last Dance For Me,ZPA070,06
Drifters,Some Kind Of Wonderful,SFGD040,05
Drifters,Spanish Harlem,EK030,03
Drifters,There Goes My Baby,SC8513,02
Drifters,There Goes My First Love,ZPA063,02
Drifters,This Magic Moment,SAVP037,17
Drifters,Under The Boardwalk,ZPA070,03
Drifters,Up On The Roof,ZPA070,04
Drifters,White Christmas,SC2514,04
Drifters,You're More Than A Number,SF097,13
Drifters,You're More Than A Number In My Lit,ZPA063,04
Drifters The,Up On The Roof,CBE09-11,05
Drivin N Cryin,Fly Me Courageous,SC8638,09
Dropkick Murphys,Tessie,SC9010,05
Drowning Pool,37 Stitches,PHM0907,05
Drowning Pool,Bodies,SC8720,04
Dru Hill,In My Bed,SC8476,12
Dru Hill,Never Make A Promise,SC8395,07
Dru Hill,Tell Me,SC8337,04
Dru Hill,These Are The Times,US02,03
Drums,Let's Go Surfing,SFMW928,04
Dubliners,Black Velvet Band,SC8737,06
Dubliners,Seven Drunken Nights,SF089,09
Dubs,Could This Be Magic,RB023,02
Dubstar,I Will Be Your Girlfriend,SF118,08
Dubstar,Stars,SFMW882,12
Duffy,Mercy,ZPP04-2,03
Duffy,Rain On Your Parade,ZPP05-2,02
Duffy,Serious,SF270,10
Duffy,Stepping Stone,ZPP05-2,06
Duffy,Warwick Avenue,ZPP04-2,12
Duffy,Well Well Well,ZPP10-2,18
Duice,Dazzey Dukes,SC8892,05
Duke Dumont Feat Ame,Need U (100%),SF327,07
Duke Dumont Feat Mnek,Hold On,SF330,09
Duke Ellington,Take The 'a Train,JVC13,05
Duncan James,Sooner Or Later,SF244,15
Duncan James And Keedie,I Believe My Heart,SF224,03
Duncan Sheik,Barely Breathing,SC8369,02
Duncan Sheik,Bite Your Tongue,SC8490,03
Duncan Sheik,She Runs Away,SC8457,05
Duncan Shiek,Barely Breathing,HD002,05
Duprees,You Belong To Me,SC8418,03
Duran Duran,All She Wants,SFGD004,11
Duran Duran,Chauffer,LGK001,01
Duran Duran,Come Undone,SFGD004,13
Duran Duran,Enjoy The Silence,LEG193,10
Duran Duran,Girls On Film,SFPL004,07
Duran Duran,Hungry Like The Wolf,SFPL004,08
Duran Duran,I Don't Want Your Love,SFGD004,15
Duran Duran,Is There Something I Should Know,ZLP08,11
Duran Duran,New Moon On Monday,SFGD004,16
Duran Duran,Notorious,SFGD004,09
Duran Duran,Ordinary World,SFGD004,12
Duran Duran,Planet Earth,SFPL004,06
Duran Duran,Reach Up For The Sunrise,SF222,06
Duran Duran,Reflex,ZGY84,05
Duran Duran,Rio,SFPL004,10
Duran Duran,Save A Prayer,SFGD004,04
Duran Duran,Save A Prayer Til The Morning After,SFPL004,09
Duran Duran,Someone Else Not Me,SC8622,07
Duran Duran,Union Of The Snake,SFGD004,05
Duran Duran,View To A Kill,SFPL007,12
Duran Duran,What Happens Tomorrow,SF225,15
Duran Duran,Wild Boys,SFGD004,06
Dust For Life,Step Into The Light,SC8673,04
Dustin Lynch,Wild In Your Smile,ASK1312A,09
Dusty Drake,And Then,SC8779,05
Dusty Springfield,All Cried Out,SFWS026,11
Dusty Springfield,All I See Is You,SFWS026,15
Dusty Springfield,Goin' Back,SF085,08
Dusty Springfield,Going Back,SFWS026,01
Dusty Springfield,I Close My Eyes And Count To Ten,SFWS026,02
Dusty Springfield,I Just Don't Know What To Do,SF074,05
Dusty Springfield,I Just Don't Know What To Do With M,SFWS026,03
Dusty Springfield,I Only Wanna Be With You,SFPL018,11
Dusty Springfield,I Only Want To Be With You,SFWS026,04
Dusty Springfield,If You Go Away,STTW3057,05
Dusty Springfield,In The Middle Of Nowhere,SFWS026,05
Dusty Springfield,Little By Little,SFWS026,13
Dusty Springfield,Look Of Love,SFWS026,09
Dusty Springfield,Losing You,SFWS026,14
Dusty Springfield,Silver Threads And Golden Needles,LEG155,15
Dusty Springfield,Son Of A Preacher Man,ZPBX2-5,17
Dusty Springfield,Spooky,STTW3058,08
Dusty Springfield,Stay A While,SFWS026,07
Dusty Springfield,What Have I Done To Deserve This,SFWS026,08
Dusty Springfield,Wishin' And Hopin',SF156,06
Dusty Springfield,Wishin' 'n' Hopin',SFPL018,15
Dusty Springfield,Wishing And Hoping,SFWS026,10
Dusty Springfield,You Don't Have To Say You Love Me,SGB0041,15
Dwight Yoakam,Ain't That Lonely Yet,SC8130,10
Dwight Yoakam,Always Late With Your Kisses,CB90097,02
Dwight Yoakam,Claudette,SC8388,11
Dwight Yoakam,Crazy Little Thing Called Love,SF144,10
Dwight Yoakam,Fast As You,SC8131,04
Dwight Yoakam,Gone (That'll Be Me),SC8247,13
Dwight Yoakam,Guitars And Cadillacs,MM6050,11
Dwight Yoakam,Guitars Cadillacs,SC8380,06
Dwight Yoakam,Heart Of Stone,SC8307,13
Dwight Yoakam,Heart That You Own,SC8287,07
Dwight Yoakam,Here Comes Santa Claus,SC8990,07
Dwight Yoakam,Honky Tonk Man,SC7568,05
Dwight Yoakam,I Got You,SC8359,04
Dwight Yoakam,I Sang Dixie,SC7551,11
Dwight Yoakam,It Only Hurts When I Cry,PI215,09
Dwight Yoakam,Little Ways,SC8604,12
Dwight Yoakam,Long White Cadillac,SC8275,09
Dwight Yoakam,Nothing,SC8205,10
Dwight Yoakam,Nothing's Changed Here,SC8352,07
Dwight Yoakam,Please Please Baby,SC8610,02
Dwight Yoakam,Pocket Of A Clown,SC8129,02
Dwight Yoakam,Sitting Pretty,CB20362,08
Dwight Yoakam,Sorry You Asked,SC8271,14
Dwight Yoakam,Streets Of Bakersfield,SC7552,14
Dwight Yoakam,Streets Of Bakersfield (With Buck O,CB20217,09
Dwight Yoakam,These Arms,CB20218,12
Dwight Yoakam,Things Change,SC8463,04
Dwight Yoakam,Thousand Miles From Nowhere,TT040,01
Dwight Yoakam,Try Not To Look So Pretty,SC8219,01
Dwight Yoakam,Turn It On Turn It Up Turn Me Loose,SC8243,08
Dwight Yoakam,What Do You Know About Love,SC8646,14
Dwight Yoakam,You're The One,SC7569,03
Dwight Yoakam And Buck Owens,Streets Of Bakersfield,CBE10-04,03
Dwight Yoakum,Ain't That Lonely Yet,CB90097,01
Dwight Yoakum,Crazy Little Thing Called Love,CB90097,03
Dwight Yoakum,Guitars Cadillacs,SPC032,19
Dwight Yoakum,Guitars Cadillac's,KH008,19
Dwight Yoakum,Honky Tonk Man,CB90097,11
Dwight Yoakum,I Sang Dixie,CB90097,04
Dwight Yoakum,I Want You To Want Me,TT056,04
Dwight Yoakum,It Only Hurts When I Cry,CB90097,05
Dwight Yoakum,Little Ways,CB90097,08
Dwight Yoakum,Long White Cadillac,CB90097,06
Dwight Yoakum,Please Please Baby,CB90097,07
Dwight Yoakum,Pocket Of A Clown,MM6064,08
Dwight Yoakum,Takes A Lot To Rock You,CB90097,09
Dwight Yoakum,Thousand Miles From Nowhere,SAVA011,01
Dwight Yoakum,Try Not To Look So Pretty,CB90097,14
Dwight Yoakum,Turn It On Turn It Up Turn Me Loose,CB90097,10
Dynamite Hack,Boys In The Hood,SGB0045,16
E 40 T Pain And Kandi Girl,U And Dat,THM2006,--
E M F,Unbelievable,US04,06
E Merman,There's No Business Like Showbusine,SC8124,08
E Rabbit And C Gayle,You And I,LEG234,10
E17,Each Time,SF128,06
Eagle Eye Cherry,Are You Still Having Fun,SF165,13
Eagle Eye Cherry,Falling In Love Again,SF128,08
Eagle Eye Cherry,Long Way Around,SGB0045,12
Eagle Eye Cherry,Save Tonight,SF122,15
Eagles,After The Thrill Is Gone,LEG126,03
Eagles,Already Gone,SC8125,06
Eagles,Best Of My Love,ZPA040,09
Eagles,Certain Kind Of Fool,ZPA050,04
Eagles,Chug All Night,LEG125,04
Eagles,Desparado,SAVP041,14
Eagles,Desperado,ZPA040,08
Eagles,Doolin-dalton,ZPA050,03
Eagles,Eagles Medley 1,ZPA040,13
Eagles,Eagles Medley 2,ZPA040,14
Eagles,Eagles Medley 3,ZPA050,12
Eagles,Get Over It,LEG125,05
Eagles,Good Day In Hell,ZPA050,08
Eagles,Greeks Don't Want No Freaks,ZPA050,09
Eagles,Heartache Tonight,ZPA040,04
Eagles,Hotel California,SPC027,05
Eagles,Hotel California (Full Version),ZPA040,06
Eagles,Hotel California (Shortened Ending),ZPA040,07
Eagles,I Can't Tell You Why,SFWS001,13
Eagles,In The City,SC8586,10
Eagles,James Dean,SGB0066,06
Eagles,Last Resort,SFKK52,12
Eagles,Life In The Fast Lane,SFWS001,10
Eagles,Long Run,SFMW926,02
Eagles,Love Will Keep Us Alive,SFWS001,15
Eagles,Lyin' Eyes,ZPA040,10
Eagles,New Kid In Town,ZPA040,03
Eagles,Nightingale,ZPA050,10
Eagles,Ol' 55,SC8583,04
Eagles,On The Border,ZPA050,07
Eagles,One Day At A Time,SC8934,10
Eagles,One Of These Nights,ZPA040,01
Eagles,Out Of Control,ZPA050,02
Eagles,Peaceful Easy Feeling,ZPA040,12
Eagles,Please Come Home For Christmas,SC8184,15
Eagles,Sad Caf?,ZPA050,11
Eagles,Saturday Night,ZPA050,05
Eagles,Seven Bridges Road,LEG126,04
Eagles,Take It Easy,ZPA040,02
Eagles,Take It To The Limit,ZPA040,11
Eagles,Tequila Sunrise,ZPA040,05
Eagles,Too Many Hands,LEG125,06
Eagles,Wasted Time,ZPA050,01
Eagles,Witchy Woman,SFWS001,14
Eagles,You Never Cry Like A Lover,ZPA050,06
Eamon,F##k It (I Don't Want You Back),SF217,05
Eamon,I Love Them Ho's,SF220,10
Earl Grant,End Of A Rainbow,JVC01,07
Earl Thomas Conley,Chance Of Lovin' You,SC8576,13
Earl Thomas Conley,Don't Make It Easy For Me,SC8567,07
Earl Thomas Conley,Fire And Smoke,SC8385,05
Earl Thomas Conley,Holding Her And Loving You,SC8380,01
Earl Thomas Conley,Honor Bound,SC8529,04
Earl Thomas Conley,I Can't Win For Losin' You,SC8326,13
Earl Thomas Conley,I Have Loved You Girl (But Not Like,SC8792,08
Earl Thomas Conley,Love Don't Care,PI213,10
Earl Thomas Conley,Love Don't Care (Whose Heart It Bre,SC8431,15
Earl Thomas Conley,Nobody Falls Like A Fool,SC8676,09
Earl Thomas Conley,Once In A Blue Moon,SC8426,03
Earl Thomas Conley,Right From The Start,SC8421,14
Earl Thomas Conley,Somewhere Between Right And Wrong,SC8610,01
Earl Thomas Conley,What I'd Say,SC8494,04
Earl Thomas Conley,What She Is (Is A Woman In Love),SC8412,09
Earth Wind And Fire,After The Love Has Gone,SFMW814,07
Earth Wind And Fire,Boogie Wonderland,STTW3050,10
Earth Wind And Fire,Fantasy,SF011,04
Earth Wind And Fire,Getaway,DKG020,04
Earth Wind And Fire,Got To Get You Into My Life,SC8667,01
Earth Wind And Fire,Let's Groove,SF067,13
Earth Wind And Fire,Mighty Mighty,CBE09-14,08
Earth Wind And Fire,Reasons,SF068,09
Earth Wind And Fire,September,CBE10-18,15
Earth Wind And Fire,Serpentine Fire,SC8386,02
Earth Wind And Fire,Shining Star,SC8573,06
Earth Wind And Fire,Sing A Song,PI053,18
Earth Wind And Fire,Spend The Night,SC8270,14
Earth Wind And Fire,That's The Way Of The World,PI037,05
Eartha Kitt,Looking For My Man,LEG153,06
Eartha Kitt,Old Fashioned Girl,HSW256,04
Eartha Kitt,Santa Baby,SC8780,12
East 17,Around The World,SFGD027,10
East 17,Do You Still,SF034,11
East 17,Hold My Body Tight,SF027,10
East 17,House Of Love,SFMW849,08
East 17,If You Ever,SFGD027,09
East 17,It's Alright,SFGD027,11
East 17,Someone To Love,SF061,13
East 17,Stay Another Day,SFGD027,06
East 17,Steam,SFGD027,08
East 17,Thunder,SFGD027,07
East 17,West End Girls,SFGD027,12
Easton Corbin,I Can't Love You Back,CB5145-01,13
Easton Corbin,Little More Country Than That,SFKK47,04
Easton Corbin,Roll With It,CB5143-01,10
Easybeats,Friday On My Mind,SF087,12
Ebba Forsberg,Hold Me,SC8487,12
Ebn Ozn,Aeiou (And Sometimes Y),SC8892,10
Echelons,Christmas Long Ago (Jingle Jingle),CB20202,11
Echo And The Bunnyman,Killing Moon,SFMW851,10
Echo And The Bunnymen,Bring On The Dancing Horses,SFMW919,05
Echo And The Bunnymen,Killing Moon,STTW3037,15
Echo And The Bunnymen,Killing Moon (Original Version),SFMW854,10
Echo And The Bunnymen,Lips Like Sugar,SFMW921,04
Echo And The Bunnymen,Seven Seas,STTW3058,04
Ed Ames,My Cup Runneth Over,SC7566,07
Ed Bruce,Diane,SC8647,12
Ed Bruce,Ever Never Lovin' You,SC7570,14
Ed Bruce,Girls Women And Ladies,SC8414,07
Ed Bruce,My First Taste Of Texas,SC8576,14
Ed Bruce,Nights,SC8426,04
Ed Bruce,You Turn Me On,SC8326,10
Ed Bruce,You're The Best Break This Old Hear,SC7537,08
Ed Sheeran,A Team,ZPP11-2,13
Ed Sheeran,A-team,SF305,14
Ed Sheeran,Drunk,ZPP13-1,10
Ed Sheeran,Give Me Love,SF322,16
Ed Sheeran,I See Fire,SF334,12
Ed Sheeran,Lego House,ZPP12-1,19
Ed Sheeran,Small Bump,SF317,07
Ed Sheeran,You Need Me I Don't Need You (Clean,SF307,04
Ed Townsend,For Your Loved,SAVP030,07
Eddi Reader,Patience Of Angels,SFMW887,11
Eddie,Hot Patootie Bless My Soul,SC2274,03
Eddie And The Hot Rods,Do Anything You Wanna Do,SFMW806,04
Eddie Arnold,I Want To Go With You,SGB0041,10
Eddie Arnold,Make The World Go Away,SGB0041,16
Eddie Arnold,You Don't Know Me,SC7544,07
Eddie Cochran,C'mon Everybody,SF139,10
Eddie Cochran,Sitting In The Balcony,DKG015,17
Eddie Cochran,Somethin' Else,SF139,06
Eddie Cochran,Summertime Blues,SC8770,07
Eddie Cochran,Three Steps To Heaven,SF038,01
Eddie Cochran,Twenty Flight Rock,SFMW811,13
Eddie Cochrane,Cut Across Shorty,HSW205,06
Eddie Cochrane,Do You Wanna Dance,HSW210,04
Eddie Fisher,I'm Walking Behind You,SF092,07
Eddie Fisher,Oh My Papa,JVC43,06
Eddie Fisher,Outside Of Heaven,SF092,05
Eddie Fisher,Rose Tattoo,JV0030,02
Eddie Floyd,Bring It On Home To Me,SF073,13
Eddie Floyd,Knock On Wood,SC7525,14
Eddie Gorme,Blame It On The Bossa Nova,DKG019,15
Eddie Heinz,Just Like,SF069,11
Eddie Heywood,Canadian Sunset,JVC20,05
Eddie Holman,Hey There Lonely Girl,SFMW816,04
Eddie Money,Baby Hold On,SC8207,06
Eddie Money,Fall In Love Again,SC8274,09
Eddie Money,I Wanna Go Back,SC8687,12
Eddie Money,I'll Get By,SC8270,04
Eddie Money,Shakin',SGB0005,06
Eddie Money,Take Me Home Tonight,LC005,11
Eddie Money,Think I'm In Love,LC001,14
Eddie Money,Two Tickets To Paradise,SC8292,07
Eddie Morrison And Ray Bryant,Madison Time,RB007,14
Eddie Murphy,Party All The Time,CB5012-03,11
Eddie Rabbitt,B B Burnin' Up With Love,SC8483,14
Eddie Rabbitt,Best Year Of My Life,SC8483,10
Eddie Rabbitt,Do You Right Tonight,CBE10-02,19
Eddie Rabbitt,Drinkin' My Baby (Off My Mind),SC8183,15
Eddie Rabbitt,Drivin' My Life Away,SC8380,03
Eddie Rabbitt,Every Which Way But Loose,CB90078,12
Eddie Rabbitt,Gone Too Far,SC8434,04
Eddie Rabbitt,Hearts On Fire,SC7555,12
Eddie Rabbitt,I Love A Rainy Night,TT042,13
Eddie Rabbitt,I Wanna Dance With You,DKG035,01
Eddie Rabbitt,On Second Thought,SC8135,02
Eddie Rabbitt,Pour Me Another Tequila,SC7555,02
Eddie Rabbitt,Rocky Mountain Music,SC8628,09
Eddie Rabbitt,She's Coming Back To Say Goodbye,SC8483,09
Eddie Rabbitt,Someone Could Lose A Heart Tonight,SAVA007,10
Eddie Rabbitt,Step By Step,SC7552,03
Eddie Rabbitt,Suspicions,SC8342,11
Eddie Rabbitt,Two Dollars In The Jukebox,CB90078,06
Eddie Rabbitt,Warning Sign,SC8483,12
Eddie Rabbitt,We Must Be Doin' Somethin' Right,CB90078,14
Eddie Rabbitt,We Wish You A Merry Christmas,CB5040-02,17
Eddie Rabbitt,You Can't Run From Love,SC8483,07
Eddie Rabbitt,You Don't Love Me Anymore,SC8697,15
Eddie Rabbitt And Crystal Gay,You And I,SPC032,15
Eddie Rabbitt And Juice Newto,Both To Each Other,SC8408,10
Eddie Vedder,Hard Sun,SC9015,13
Eddy Arnold,Anytime,CB20219,09
Eddy Arnold,Bouquet Of Roses,SC8682,06
Eddy Arnold,Cattle Call,SC8262,04
Eddy Arnold,Don't Rob Another Man's Castle,CBE10-01,13
Eddy Arnold,Each Minute Seems Like A Million Ye,SC8592,09
Eddy Arnold,Heart Full Of Love (For A Handful O,CBSE1,--
Eddy Arnold,Here Comes Heaven,CBE10-01,06
Eddy Arnold,I Really Don't Want To Know,DKG026,17
Eddy Arnold,I Want To Go With You,SC8383,02
Eddy Arnold,I'll Hold You In My Heart (Until I,SC8208,08
Eddy Arnold,I'm Throwing Rice (At The Girl That,CBE09-01,07
Eddy Arnold,Just A Little Lovin',SC7567,08
Eddy Arnold,Last Word In Lonesome Is Me,JV0006,04
Eddy Arnold,Make The World Go Away,SC8118,02
Eddy Arnold,Up On The Housetop,SC8475,09
Eddy Arnold,What's He Doin' In My World,SC8419,09
Eddy Arnold,What's He Doing In My World,CB20219,12
Eddy Arnold,You Don't Know Me,CB20219,08
Eddy Grant,Do You Feel My Love,SFMW808,07
Eddy Grant,Electric Avenue,SGB0049,12
Eddy Grant,Electric Avenue (Remix),SF180,08
Eddy Grant,Electric Slide,IMPK08,10
Eddy Grant,Gimme Hope Joanna,SF137,05
Eddy Grant,Gimme Hope Jo'anna,ZKH04,16
Eddy Grant,I Don't Wanna Dance,SFMW805,05
Eddy Raven,Cowboys Don't Cry,SC8698,02
Eddy Raven,I Got Mexico,SC8345,04
Eddy Raven,I'm Gonna Get You,SC8431,03
Eddy Raven,In A Letter To You,SC8434,10
Eddy Raven,Joe Knows How To Live,SC8767,10
Eddy Raven,Shine Shine Shine,SC8525,13
Eden Kane,Boy's Cry,SF064,05
Eden Kane,Forget Me Not,SF083,11
Eden Kane,Well I Ask You,SF054,05
Eden's Crush,Get Over Yourself,SC8090,02
Eden's Edge,Amen,CB5147-02,10
Edgar Winter,Free Ride,PI043,05
Edgar Winter,Keep Playing That Rock And Roll,DG010,05
Edgar Winter Group,Free Ride,SC8439,12
Edger Winter,Free Ride,SGB0044,13
Edie Brickell And New Bohemia,What I Am,SC8378,04
Edie Brickell And The New Boh,What I Am,PI052,14
Edison Lighthouse,Love Grows (Where My Rosemary Goes),CB5036-02R,04
Edison Lighthouse,Love Grows Where My Rosemary Goes,SGB0049,08
Edith Piaf,La Vie En Rose,SFMW901,08
Editors,All Sparks,SFMW925,05
Editors,An End Has A Start,SF259,13
Editors,Blood,MRH030,16
Editors,Bullets,SFMW874,13
Editors,Munich,SFMW919,08
Editors,Smokers Outside The Hospital Doors,MRH039,07
Ednita,Mcs Grande Que Grande,SC2230,06
Ednita,Tu Sabes Bien,SC2207,08
Edsels,Rama Lama Ding Dong,SC8399,10
Edward Bear,Last Song,SC8174,05
Edward Maya And Vika Jigulina,Stereo Love,SF292,13
Edwin Hawkins Singers,Oh Happy Day,DKG031,17
Edwin Mccain,Alive,SC8295,12
Edwin Mccain,Go Be Young,SC8593,10
Edwin Mccain,I Could Not Ask For More,SC8545,15
Edwin Mccain,I'll Be,SC8452,06
Edwin Mccain,Sorry To A Friend,SC8277,09
Edwin Mccain And Darius Rucke,Solitude,SC8203,13
Edwin Star,War,SFMW805,07
Edwin Starr,25 Miles,LEG131,07
Edwin Starr,Contact,SF103,13
Edwin Starr,H A P P Y Radio,SFMW916,05
Edwin Starr,War,SC7548,04
Edwyn Collins,Girl Like You,SF029,06
Edwyn Collins,Magic Piper (Of Love),STTW3044,08
Edwyn Mccain,I'll Be,PHM9805,05
Eels,Mr E's Beautiful Blues,SFMW923,07
Eels,Novocaine For The Soul,SFMW893,03
Eiffel 65,Blue Da Ba Dee,SGB0042,12
Eiffel 65,Move Your Body,SF159,08
Eight Strait Hits,Amarillo By Morning,SC2005,06
Eight Strait Hits,Chair,SC2005,04
Eight Strait Hits,Easy Come Easy Go,SC2005,03
Eight Strait Hits,I Cross My Heart,SC2005,05
Eight Strait Hits,Let's Fall To Pieces Together,SC2005,08
Eight Strait Hits,Love Without End Amen,SC2005,01
Eight Strait Hits,You Look So Good In Love,SC2005,07
Eighteen Visions,Victim,THMR0610,14
Eileen Barton,If I Knew You Were Comin' I'd've Ba,SC8415,08
El Coyote Y Su Banda Tierra S,No Puedo Olvidar Tu Voz,SC2257,01
El Coyote Y Su Banda Tierra S,Te Sone,SC2273,05
El Debarge,Where You Are,SC8170,03
El Debarge Q Jones S Garr,I'm Yours,SC8542,04
El Debarge Quincy Jones And S,I'm Yours,SC3138,04
El Dorados,At My Front Door,SC8615,07
El Poder Del Norte,A Ella,SC2273,04
Elaine Paige,Memory,SF110,04
Elaine Paige And Barbara Dick,I Know Him So Well,ZGY85,02
Elastica,Connection,SFMW845,09
Elbow,One Day Like This,SFMW917,04
Eleanor Mcevoy,Only A Woman's Heart,ZKH11,10
Electric Light Orchestra,All Over The World,ZPA088,12
Electric Light Orchestra,Birmingham Blues,SFMW898,11
Electric Light Orchestra,Can't Get It Out Of My Head,SC8322,08
Electric Light Orchestra,Can't Get You Out Of My Head,LEG211,10
Electric Light Orchestra,Confusion,SFMW899,01
Electric Light Orchestra,Diary Of Horace Wimp,SFPL014,08
Electric Light Orchestra,Diary Of Horrace Wimp,SFMW835,08
Electric Light Orchestra,Do Ya,SFMW912,01
Electric Light Orchestra,Don't Bring Me Down,SGB0044,09
Electric Light Orchestra,Don't Walk Away,STTW3041,05
Electric Light Orchestra,Easy Money,ZKH12,10
Electric Light Orchestra,Evil Woman,ZPA088,07
Electric Light Orchestra,Hold On Tight,ZPA088,11
Electric Light Orchestra,Is This The Way Life's Meant To Be,SFMW906,14
Electric Light Orchestra,Livin' Thing,ZPA088,08
Electric Light Orchestra,Ma Ma Ma Belle,SFMW896,15
Electric Light Orchestra,Mr Blue Sky,ZPA088,09
Electric Light Orchestra,Rock And Roll Is King,SFMW897,06
Electric Light Orchestra,Rockaria,STTW3043,14
Electric Light Orchestra,Roll Over Beethoven,STTW3041,10
Electric Light Orchestra,Shine A Little Love,SFMW911,02
Electric Light Orchestra,State Of Mind,ZKH12,09
Electric Light Orchestra,Strange Magic,SC8221,04
Electric Light Orchestra,Sweet Talkin' Woman,ZPA088,10
Electric Light Orchestra,Telephone Line,SFMW901,14
Electric Light Orchestra,Turn To Stone,SFMW879,11
Electric Light Orchestra,Wild West Hero,STTW3042,11
Electric Prunes,I Had Too Much To Dream (Last Night,SC8750,08
Electric Six,Danger High Voltage,SF202,14
Electric Six,Gay Bar,SF206,12
Electronic,Get The Message,SFMW884,12
Electronic,Getting Away With It,SFMW893,14
Elegants,Little Star,SC8526,13
Elgar,Pomp And Circumstance,SC2448,09
Elgins,Heaven Must Have Sent You,SFMW817,12
Eli Young Band,Always The Love Song,CBE10-09,02
Eli Young Band,Crazy Girl,CB5145-02,16
Eli Young Band,Drunk Last Night,PHMC1401,02
Eliza Doolittle,Let It Rain,SF333,11
Eliza Doolittle,Moneybox,ZPP10-2,01
Eliza Doolittle,Pack Up,ZPP10-2,03
Eliza Doolittle,Skinny Genes,SFMW932,12
Elizabeth Cook,Stupid Things,SC8794,07
Elkie Brooks,Don't Cry Out Loud,ZKH12,14
Elkie Brooks,Fool If You Think It's Over,STTW3050,04
Elkie Brooks,Lilac Wine,SF079,09
Elkie Brooks,No More The Fool,SF076,10
Elkie Brooks,Pearl's A Singer,SF071,11
Elkie Brooks,We Don't Cry Out Loud,SFMW918,06
Ella Fitzgerald,A-tisket A-tasket,CBE10-12,10
Ella Fitzgerald,Crazy He Calls Me,SGB0037,11
Ella Fitzgerald,Fine Romance,STTW3033,01
Ella Fitzgerald,I've Got Rhythmn,EK024,03
Ella Fitzgerald,On The Sunny Side Of The Street,SAVP007,11
Ella Fitzgerald,Putting On The Ritz,SFMW816,02
Ella Fitzgerald,Summertime,SAVP007,12
Ella Fitzgerald,Tisket A Tasket,SC8030,03
Ellah Fitzgerald,Making Whoopee,HSW255,07
Ellie Goulding,Anything Could Happen,ZPP14-1,01
Ellie Goulding,Burn,ZPP16-1,05
Ellie Goulding,Explosions,SF325,14
Ellie Goulding,Guns And Horses,SFMW927,08
Ellie Goulding,How Long Will I Love You,SF333,03
Ellie Goulding,Lights,SF301,14
Ellie Goulding,Starry Eyed,ZPP09-2,11
Ellie Goulding,Your Song,ZPBX2-6,20
Ellie Warren,Shattered Glass,ZKH08,01
Elliot Missy Ludacris And Tri,One Minute Man,SC8720,15
Elliott Yamin,One Word,PHM0802,09
Elliott Yamin,Wait For You,SC9019,08
Elmo And Patsy,Grandma Got Run Over By A Reindeer,TT066,07
Elmo And Patsy,Senor Santa Claus,SC8184,06
Elp,From The Beginning,HD007A,06
Elton John,Ain't Nothing Like The Real Thing,PS1188,12
Elton John,All That I'm Allowed I'm Thankful,SF224,12
Elton John,Are You Ready For Love,ZPA105,09
Elton John,Believe,SF020,01
Elton John,Bennie And The Jets,SC8666,03
Elton John,Bitch Is Back,ZPA106,02
Elton John,Blessed,SF039,15
Elton John,Blue Eyes,ZPA106,06
